run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,subset,data,model,acc_std,repeats
KUET only|main|RandomForest,4360,0.43646788990825686,0.23903060671789989,0.29245305189554993,0.21628440366972476,0.7837155963302752,0.835091743119266,0.4314353617125486,KUET only,main,RandomForest,0.006264449671443874,5
KUET only|main|SMO,4360,0.44587155963302755,0.25835957425461986,0.2930173024826298,0.2353211009174312,0.7646788990825688,0.861697247706422,0.4433967114308518,KUET only,main,SMO,0.0004587155963302836,5
KUET only|main|Logistic,4360,0.43577981651376146,0.24087105615647442,0.2766165453687315,0.23142201834862386,0.7685779816513761,0.8603211009174312,0.43121955965514996,KUET only,main,Logistic,0.007360920429303316,5
KUET only|quest|ZeroR,4360,0.29701834862385323,0.0,0.0,0.21788990825688073,0.7821100917431193,0.9208715596330275,0.11450044208664897,KUET only,quest,ZeroR,0.0,5
KUET only|quest|J48,4360,0.26972477064220185,0.001754198625332437,0.02920231186242661,0.2834862385321101,0.7165137614678899,1.0651376146788991,0.2482315562219224,KUET only,quest,J48,0.013939973760571324,5
KUET only|quest|RandomForest,4360,0.3137614678899083,0.06744701582215817,0.05651483871241503,0.2841743119266055,0.7158256880733945,1.0369266055045872,0.29320609641531675,KUET only,quest,RandomForest,0.004564162555534947,5
KUET only|quest|SMO,4360,0.2763761467889908,-0.004936357732153729,0.05549053554139316,0.22041284403669725,0.7795871559633027,0.9678899082568807,0.21818960118911723,KUET only,quest,SMO,0.010076092952517794,5
KUET only|quest|Logistic,4360,0.28577981651376144,0.02449777266848696,0.0844308286667469,0.2552752293577982,0.7447247706422019,1.021559633027523,0.26382498726621484,KUET only,quest,Logistic,0.004191666716169054,5
KUET sem 1-6|main|ZeroR,985,0.26903553299492383,-0.006993006993007089,-0.018928622160079955,0.3187817258883249,0.6812182741116751,1.0893401015228426,0.15512173624756406,KUET sem 1-6,main,ZeroR,0.0,5
KUET sem 1-6|main|J48,985,0.7807106598984772,0.7055652811702106,0.8325120443961306,0.05279187817258883,0.9472081218274112,0.2781725888324873,0.7839041884803204,KUET sem 1-6,main,J48,0.044877230670660594,5
KUET sem 1-6|main|RandomForest,985,0.8071065989847716,0.7408648454050761,0.8845398520773466,0.026395939086294416,0.9736040609137055,0.21928934010152284,0.8132527862464538,KUET sem 1-6,main,RandomForest,0.011121270203150584,5
KUET sem 1-6|main|SMO,985,0.8152284263959391,0.7516210374639769,0.8828012607923436,0.03147208121827411,0.9685279187817258,0.216243654822335,0.8219457942439885,KUET sem 1-6,main,SMO,0.002486791617038767,5
KUET sem 1-6|main|Logistic,985,0.7390862944162436,0.6494953131273971,0.8090672715079219,0.05177664974619289,0.9482233502538071,0.3177664974619289,0.7447233221833718,KUET sem 1-6,main,Logistic,0.024365482233502513,5
KUET sem 1-6|quest|ZeroR,985,0.26903553299492383,-0.006993006993007089,-0.018928622160079955,0.3187817258883249,0.6812182741116751,1.0893401015228426,0.15512173624756406,KUET sem 1-6,quest,ZeroR,0.0,5
KUET sem 1-6|quest|J48,985,0.349238578680203,0.11415022202891645,0.32775047555384995,0.24974619289340103,0.750253807106599,0.9563451776649746,0.27037292877629815,KUET sem 1-6,quest,J48,0.014851511510992694,5
KUET sem 1-6|quest|RandomForest,985,0.383756345177665,0.17238921148615438,0.31739617490056293,0.22030456852791877,0.7796954314720812,0.8913705583756345,0.3827879470539998,KUET sem 1-6,quest,RandomForest,0.010452416386788841,5
KUET sem 1-6|quest|SMO,985,0.35126903553299493,0.12553923100969056,0.2694632234223501,0.26192893401015227,0.7380710659898477,0.9725888324873097,0.34920876549089785,KUET sem 1-6,quest,SMO,0.013001267487173295,5
KUET sem 1-6|quest|Logistic,985,0.34822335025380713,0.12296906530196172,0.2725812313574867,0.2639593908629442,0.7360406091370558,0.9756345177664975,0.3459812188519414,KUET sem 1-6,quest,Logistic,0.02306155673421431,5
KUET sem 4|main|ZeroR,335,0.29850746268656714,0.0,0.0,0.2537313432835821,0.746268656716418,0.9552238805970149,0.11494252873563218,KUET sem 4,main,ZeroR,0.0,5
KUET sem 4|main|J48,335,0.29850746268656714,0.0,0.0,0.2537313432835821,0.746268656716418,0.9552238805970149,0.11494252873563218,KUET sem 4,main,J48,0.0,5
KUET sem 4|main|RandomForest,335,0.7910447761194029,0.7139895109159654,0.8812269260168816,0.03880597014925373,0.9611940298507463,0.24776119402985075,0.7469961823267007,KUET sem 4,main,RandomForest,0.01887926961294555,5
KUET sem 4|main|SMO,335,0.8029850746268656,0.7292597808118533,0.8856076893891489,0.041791044776119404,0.9582089552238806,0.23880597014925373,0.7650725371120108,KUET sem 4,main,SMO,0.005970149253731361,5
KUET sem 4|main|Logistic,335,0.5850746268656717,0.4411976479059162,0.6743820146148736,0.11343283582089553,0.8865671641791045,0.5432835820895522,0.565844959888385,KUET sem 4,main,Logistic,0.03324038425570161,5
KUET sem 4|quest|ZeroR,335,0.29850746268656714,0.0,0.0,0.2537313432835821,0.746268656716418,0.9552238805970149,0.11494252873563218,KUET sem 4,quest,ZeroR,0.0,5
