university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BUET,CSE,0.875,4,90% or more,3-6 hrs,Mostly consistent routine,About half,6-7 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Some support,Average,Very satisfied,"Yes, exactly what I wanted",Somewhat,0.562,0.583,0.625,0.833,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Mostly just before exams,About half,7-8 hrs,Often,none,Almost every day,Somewhat distracting,Some support,Mostly manageable,Very dissatisfied,Close to what I wanted,Mostly,0.438,0.583,0.375,0.5,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,11-15 hrs,Occasionally when necessary,About half,6-7 hrs,Often,none,Often,Neither good nor bad,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.25,0.417,0.5,0.583,C3_3_75_plus
BRAC,CSE,0.917,4,60-74%,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Neutral,Close to what I wanted,Mostly,0.375,0.333,0.75,0.667,C3_3_75_plus
BUET,CSE,0.875,4,75-89%,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,Very dissatisfied,Somewhat different,Mostly,0.438,0.417,0.5,0.417,C2_3_50_to_3_74
BUET,CSE,0.875,4,75-89%,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Rarely,1-5 hrs,Often,Mostly suitable,Very little support,Mostly manageable,Very dissatisfied,Mostly different,Somewhat,0.188,0.583,0.5,0.25,C0_below_3_20
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Good support,Average,Neutral,"Yes, exactly what I wanted",Completely,0.562,0.667,0.75,0.833,C0_below_3_20
BRAC,CSE,0.917,4,60-74%,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Some support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Mostly,0.312,0.417,0.5,0.917,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,About half,Less than 5 hrs,Rarely,More than 15 hrs,Rarely,Mostly suitable,Good support,Average,Neutral,"Yes, exactly what I wanted",Somewhat,0.5,0.417,0.75,0.667,C2_3_50_to_3_74
BUET,CSE,0.875,4,90% or more,7-10 hrs,Mostly consistent routine,About half,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,No support,Average,Very dissatisfied,Mostly different,Mostly,0.625,0.333,0.375,0.333,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Almost every day,Mostly suitable,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Completely,0.438,0.667,0.625,0.667,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,More than 15 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Mostly,0.5,0.417,0.625,0.917,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Very dissatisfied,Somewhat different,Slightly,0.438,0.333,0.75,0.25,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Regularly but not every day,Almost everything,7-8 hrs,Rarely,1-5 hrs,Rarely,Neither good nor bad,Strong support,Mostly manageable,Very dissatisfied,Close to what I wanted,Somewhat,0.5,0.75,0.75,0.417,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly just before exams,Almost nothing,6-7 hrs,Often,More than 15 hrs,Never,Somewhat distracting,Some support,Average,Neutral,"Yes, exactly what I wanted",Slightly,0.562,0.417,0.375,0.583,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Often,6-10 hrs,Rarely,Very distracting,Strong support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.438,0.417,0.5,0.583,C2_3_50_to_3_74
